year	author	title
1983	Russell Baker	Growing Up
1982	William McFeely	Grant: A Biography
1981	Robert K. Massie	Peter the Great: His Life and World
1980	Edmund Morris	The Rise of Theodore Roosevelt
1979	Leonard Baker	Days of Sorrow and Pain: Leo Baeck and the Berlin Jews
1978	Walter Jackson Bate	Samuel Johnson
1977	John E. Mack	A Prince of Our Disorder: The Life of T. E. Lawrence
1976	R. W. B. Lewis	Edith Wharton: A Biography
1975	Robert Caro	The Power Broker: Robert Moses and the Fall of New York
1974	Louis Sheaffer	O&#039;Neill, Son and Artist
1973	W. A. Swanberg	Luce and His Empire
1972	Joseph P. Lash	Eleanor and Franklin
1971	Lawrance Thompson	Robert Frost: The Years of Triumph, 1915 -1938
1970	T. Harry Williams	Huey Long
1969	Benjamin Lawrence Reid	The Man From New York: John Quinn and His Friends
1968	George F. Kennan	Memoirs
1967	Justin Kaplan	Mr. Clemens and Mark Twain
1966	Arthur M. Schlesinger	A Thousand Days
1965	Ernest Samuels	Henry Adams, three volumes
1964	Walter Jackson Bate	John Keats
1963	Leon Edel	Henry James
1961	David Donald	Charles Sumner and the Coming of the Civil War
1960	Samuel Eliot Morison	John Paul Jones
1959	Arthur Walworth	Woodrow Wilson
1958	Douglas Southall Freeman with John Alexander Carroll and Mary Wells Ashworth	George Washington, Volumes I-VII
1957	John F. Kennedy	Profiles in Courage
1956	Talbot Faulkner Hamlin	Benjamin Henry Latrobe
1955	William S. White	The Taft Story
1954	Charles A. Lindbergh	The Spirit of St. Louis
1953	David J. Mays	Edmund Pendleton 1721-1803
1952	Merlo J. Pusey	Charles Evans Hughes
1951	Margaret Louise Coit	John C. Calhoun: American Portrait
1950	Samuel Flagg Bemis	John Quincy Adams and the Foundations of American Foreign Policy
1949	Robert E. Sherwood	Roosevelt and Hopkins
1948	Margaret Clapp	Forgotten First Citizen: John Bigelow
1947	William Allen White	The Autobiography of William Allen White
1946	Linnie Marsh Wolfe	Son of the Wilderness
1945	Russell Blaine Nye	George Bancroft: Brahmin Rebel
1944	Carleton Mabee	The American Leonardo: The Life of Samuel F B. Morse
1943	Samuel Eliot Morison	Admiral of the Ocean Sea: A Life of Christopher Columbus
1942	Forrest Wilson	Crusader in Crinoline
1941	Ola Elizabeth Winslow	Jonathan Edwards, 1703–1758: A Biography
1940	Ray Stannard Baker	Woodrow Wilson, Life and Letters. Vols. VII and VIII
1939	Carl Van Doren	Benjamin Franklin
1938	Marquis James	The Life of Andrew Jackson
1938	Odell Shepard	Pedlar&#039;s Progress
1937	Allan Nevins	Hamilton Fish: The Inner History of the Grant Administration
1936	Ralph Barton Perry	The Thought and Character of William James: As Revealed in Unpublished Correspondence and Notes, Together with His Published Writings
1935	Douglas S. Freeman	R. E. Lee
1934	Tyler Dennett	John Hay
1933	Allan Nevins	Grover Cleveland
1932	Henry F. Pringle	Theodore Roosevelt
1931	Henry James	Charles W. Eliot
1930	Marquis James	The Raven
1929	Burton J. Hendrick	The Training of an American: The Earlier Life and Letters of Walter H. Page
1928	Charles Edward Russell	The American Orchestra and Theodore Thomas
1927	Emory Holloway	Whitman: An Interpretation in Narrative
1926	Harvey Cushing	The Life of Sir William Osler, 2 vols.
1925	M. A. Dewolfe Howe	Barrett Wendell and His Letters
1924	Michael Idvorsky Pupin	From Immigrant to Inventor
1923	Burton J. Hendrick	The Life and Letters of Walter H. Page
1922	Hamlin Garland	A Daughter of the Middle Border
1921	Edward Bok	The Americanization of Edward Bok
1920	Albert J. Beveridge	The Life of John Marshall
1919	Henry Adams	The Education of Henry Adams
1918	William Cabell Bruce	Benjamin Franklin, Self-Revealed
1917	Laura E. Richards and Maud Howe Elliott assisted by Florence Howe Hall	Julia Ward Howe, 1819-1910
